id,hebrew,english,sound,tags
L001.N1,שִׁעוּר רִאשׁוֹן٭,First lesson,[sound:L001.N1.mp3],assimil assimil-01
L001.S00,בּוֹקֶר٭,morning,[sound:L001.S00.mp3],assimil assimil-01
L001.S01,בּוֹקֶר טוֹב!٭,Good morning!,[sound:L001.S01.mp3],assimil assimil-01
L001.S02,בּוֹקֶר אוֹר!٭,Good morning (morning-of light),[sound:L001.S02.mp3],assimil assimil-01
L001.T01,בוקר٭,morning,[sound:L001.T01.mp3],assimil assimil-01
L001.T02,טוב٭,good,[sound:L001.T02.mp3],assimil assimil-01
L001.T03,אור٭,light,[sound:L001.T03.mp3],assimil assimil-01
L001.T04,בוקר טוב.٭,Good morning (morning good),[sound:L001.T04.mp3],assimil assimil-01
L001.T05,בוקר אור.٭,Good morning (morning-of light),[sound:L001.T05.mp3],assimil assimil-01
L002.N2,שִׁעוּר שֵׁנִי٭,Second lesson,[sound:L002.N2.mp3],assimil assimil-02
L002.S00,שָׁלוֹם٭,Hello,[sound:L002.S00.mp3],assimil assimil-02
L002.S01,שָׁלוֹם לִיאוֹר!٭,NA,[sound:L002.S01.mp3],assimil assimil-02
L002.S02,שָׁלוֹם שִׁירלִי!٭,NA,[sound:L002.S02.mp3],assimil assimil-02
L002.T01,שלום.٭,NA,[sound:L002.T01.mp3],assimil assimil-02
L002.T02,שלום ליאור.٭,NA,[sound:L002.T02.mp3],assimil assimil-02
L002.T03,שלום שירלי.٭,NA,[sound:L002.T03.mp3],assimil assimil-02
L002.T04,"בוקר אור, ליאור.٭",NA,[sound:L002.T04.mp3],assimil assimil-02
L002.T05,"בוקר טוב, שירלי.٭",NA,[sound:L002.T05.mp3],assimil assimil-02
L003.N3,שִׁעוּר שׁלִישִׁי٭,NA,[sound:L003.N3.mp3],assimil assimil-03
L003.S00,"כָּכָה, כָּכָה٭",NA,[sound:L003.S00.mp3],assimil assimil-03
L003.S01,מַה שׁלוֹמךָ לִיאוֹר?٭,NA,[sound:L003.S01.mp3],assimil assimil-03
L003.S02,טוֹב.٭,NA,[sound:L003.S02.mp3],assimil assimil-03
L003.S03,מַה שׁלוֹמֵך שִׁירלִי?٭,NA,[sound:L003.S03.mp3],assimil assimil-03
L003.S04,"כָּכָה, כָּכָה.٭",NA,[sound:L003.S04.mp3],assimil assimil-03
L003.T01,"מה שלומך, שירלי?٭",NA,[sound:L003.T01.mp3],assimil assimil-03
L003.T02,טוב.٭,NA,[sound:L003.T02.mp3],assimil assimil-03
L003.T03,"מה שלומך, ליאור?٭",NA,[sound:L003.T03.mp3],assimil assimil-03
L003.T04,"ככה, ככה.٭",NA,[sound:L003.T04.mp3],assimil assimil-03
L003.T05,"שלום, מה שלומך?٭",NA,[sound:L003.T05.mp3],assimil assimil-03
L004.N4,שִׁעוּר רְבִיעִי٭,NA,[sound:L004.N4.mp3],assimil assimil-04
L004.S00,תוֹדָה٭,NA,[sound:L004.S00.mp3],assimil assimil-04
L004.S01,מַה אַתָה שׁוֹתֶה?٭,NA,[sound:L004.S01.mp3],assimil assimil-04
L004.S02,"תֵה, תוֹדָה.٭",NA,[sound:L004.S02.mp3],assimil assimil-04
L004.S03,מַה אַת שׁוֹתָה?٭,NA,[sound:L004.S03.mp3],assimil assimil-04
L004.S04,"בִּירָה, תוֹדָה.٭",NA,[sound:L004.S04.mp3],assimil assimil-04
L004.T01,אתה שותה בירה.٭,NA,[sound:L004.T01.mp3],assimil assimil-04
L004.T02,את שותה תה.٭,NA,[sound:L004.T02.mp3],assimil assimil-04
L004.T03,תודה.٭,NA,[sound:L004.T03.mp3],assimil assimil-04
L004.T04,"שלום את, שותה בירה?٭",NA,[sound:L004.T04.mp3],assimil assimil-04
L004.T05,"בוקר טוב, אתה שותה תה?٭",NA,[sound:L004.T05.mp3],assimil assimil-04
L005.N5,שִׁעוּר חֲמִישִׁי٭,NA,[sound:L005.N5.mp3],assimil assimil-05
L005.S00,עִברִית٭,NA,[sound:L005.S00.mp3],assimil assimil-05
L005.S01,"בּוֹקֶר טוֹב, דָן!٭",NA,[sound:L005.S01.mp3],assimil assimil-05
L005.S02,מַה אַתָה לוֹמֵד?٭,NA,[sound:L005.S02.mp3],assimil assimil-05
L005.S03,אֲנִי לוֹמֵד עִברִית.٭,NA,[sound:L005.S03.mp3],assimil assimil-05
L005.S04,"לֵאָה, מַה אַת לוֹמֶדֶת?٭",NA,[sound:L005.S04.mp3],assimil assimil-05
L005.S05,אֲנִי לוֹמֶדֶת לָטִינִית.٭,NA,[sound:L005.S05.mp3],assimil assimil-05
L005.T01,לאה לומדת עברית.٭,NA,[sound:L005.T01.mp3],assimil assimil-05
L005.T02,דן לומד לטינית.٭,NA,[sound:L005.T02.mp3],assimil assimil-05
L005.T03,אתה לומד.٭,NA,[sound:L005.T03.mp3],assimil assimil-05
L005.T04,את לומדת.٭,NA,[sound:L005.T04.mp3],assimil assimil-05
L005.T05,מה שירלי לומדת?٭,NA,[sound:L005.T05.mp3],assimil assimil-05
L006.N6,שִׁעוּר שִׁישִׁי٭,NA,[sound:L006.N6.mp3],assimil assimil-06
L006.S00,בְּסֵדֶר٭,NA,[sound:L006.S00.mp3],assimil assimil-06
L006.S01,"מַה נִשׁמַע, יָעֵל?٭",NA,[sound:L006.S01.mp3],assimil assimil-06
L006.S02,"טוֹב, תוֹדָה, בְּסֵדֶר.٭",NA,[sound:L006.S02.mp3],assimil assimil-06
L006.S03,מַה חָדָשׁ דָנִיאֵל?٭,NA,[sound:L006.S03.mp3],assimil assimil-06
L006.S04,אֵין חָדָשׁ.٭,NA,[sound:L006.S04.mp3],assimil assimil-06
L006.S05,"חֲבָל, לְהִתרָאוֹת!٭",NA,[sound:L006.S05.mp3],assimil assimil-06
L006.T01,מה נשמע?٭,NA,[sound:L006.T01.mp3],assimil assimil-06
L006.T02,בסדר.٭,NA,[sound:L006.T02.mp3],assimil assimil-06
L006.T03,אין חדש.٭,NA,[sound:L006.T03.mp3],assimil assimil-06
L006.T04,"להתראות, דניאל.٭",NA,[sound:L006.T04.mp3],assimil assimil-06
L006.T05,"מה חדש, יעל?٭",NA,[sound:L006.T05.mp3],assimil assimil-06
L007.N7,שִׁעוּר שׁבִיעִי٭,NA,[sound:L007.N7.mp3],assimil assimil-07
L007.S00,חֲזָרָה٭,NA,[sound:L007.S00.mp3],assimil assimil-07
L007.S01,"בּוֹקֶר טוֹב, שִׁירלִי.٭",NA,[sound:L007.S01.mp3],assimil assimil-07
L007.S02,"מַה שׁלוֹמךָ, דָן?٭",NA,[sound:L007.S02.mp3],assimil assimil-07
L007.S03,"כָּכָה, כָּכָה.٭",NA,[sound:L007.S03.mp3],assimil assimil-07
L007.S04,מַה חָדָשׁ?٭,NA,[sound:L007.S04.mp3],assimil assimil-07
L007.S05,אֲנִי לוֹמֵד עִברִית בְּאַסִימִיל.٭,NA,[sound:L007.S05.mp3],assimil assimil-07
L007.S06,אַת שׁוֹתָה תֵה?٭,NA,[sound:L007.S06.mp3],assimil assimil-07
L007.S07,תוֹדָה.٭,NA,[sound:L007.S07.mp3],assimil assimil-07
L008.N8,שִׁעוּר שׁמִינִי٭,NA,[sound:L008.N8.mp3],assimil assimil-08
L008.S00,דִבּוּרִים٭,NA,[sound:L008.S00.mp3],assimil assimil-08
L008.S01,אַתָה מְדַבֵּר עִברִית?٭,NA,[sound:L008.S01.mp3],assimil assimil-08
L008.S02,"לֹא רַק עִברִית. אֲנִי מִפּוֹלָניָה, אֲנִי מְדַבֵּר פּוֹלָנִית.٭",NA,[sound:L008.S02.mp3],assimil assimil-08
L008.S03,וְאַנָטוֹל?٭,NA,[sound:L008.S03.mp3],assimil assimil-08
L008.S04,"הוּא מֵרוּסיָה, הוּא מְדַבֵּר רוּסִית, אִידִישׁ וְעִברִית שֶׁל אוּלפָּן.٭",NA,[sound:L008.S04.mp3],assimil assimil-08
L008.S05,וְרִנָה?٭,NA,[sound:L008.S05.mp3],assimil assimil-08
L008.S06,רִנָה? הִיא מְדַבֶּרֶת עִברִית שֶׁל שַׁבָּת!٭,NA,[sound:L008.S06.mp3],assimil assimil-08
L008.T01,אנטול מדבר עברית של אולפּן.٭,NA,[sound:L008.T01.mp3],assimil assimil-08
L008.T02,רנה מדברת עברית של שבת.٭,NA,[sound:L008.T02.mp3],assimil assimil-08
L008.T03,"הוא מרוסיה, הוא מדבר רוסית.٭",NA,[sound:L008.T03.mp3],assimil assimil-08
L008.T04,"היא מפּולניה, היא מדברת פּולנית.٭",NA,[sound:L008.T04.mp3],assimil assimil-08
L008.T05,אני מדברת אידיש ועברית.٭,NA,[sound:L008.T05.mp3],assimil assimil-08
L009.N9,שִׁעוּר תשִׁיעִי٭,NA,[sound:L009.N9.mp3],assimil assimil-09
L009.S00,מַחשֵׁבִים٭,NA,[sound:L009.S00.mp3],assimil assimil-09
L009.S01,שָׁלוֹם!٭,NA,[sound:L009.S01.mp3],assimil assimil-09
L009.S02,בּוֹקֶר טוֹב!٭,NA,[sound:L009.S02.mp3],assimil assimil-09
L009.S03,מַה אַתֶם רוֹצִים?٭,NA,[sound:L009.S03.mp3],assimil assimil-09
L009.S04,אֲנַחנוּ רוֹצִים מַחשֵׁב לַבֵּן.٭,NA,[sound:L009.S04.mp3],assimil assimil-09
L009.S05,הוּא רוֹצֶה מַחשֵׁב וְאִנטֶרנֶט.٭,NA,[sound:L009.S05.mp3],assimil assimil-09
L009.S06,וְהַבַּת?٭,NA,[sound:L009.S06.mp3],assimil assimil-09
L009.S07,הִיא רוֹצָה מַחשֵׁב נִשָׂא.٭,NA,[sound:L009.S07.mp3],assimil assimil-09
L009.T01,הבן והבת רוצים מחשב.٭,NA,[sound:L009.T01.mp3],assimil assimil-09
L009.T02,הוא רוצה מחשב נשא.٭,NA,[sound:L009.T02.mp3],assimil assimil-09
L009.T03,היא רוצה אנטרנט.٭,NA,[sound:L009.T03.mp3],assimil assimil-09
L009.T04,מה אתם רוצים?٭,NA,[sound:L009.T04.mp3],assimil assimil-09
L009.T05,אנחנו רוצים מחשבים.٭,NA,[sound:L009.T05.mp3],assimil assimil-09
L010.N10,שִׁעוּר עֲשִׂירִי٭,NA,[sound:L010.N10.mp3],assimil assimil-10
L010.S00,בְּבֵית קָפֶה٭,NA,[sound:L010.S00.mp3],assimil assimil-10
