id,eng_text,heb_word,match_word,match_word_def,Levensht
L001.N1,First lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L001.N1,First lesson,רִאשׁוֹן,רִאשׁוֹן,first,0
L001.S00,morning,בּוֹקֶר,בּוֹקֶר,"morning, dawn",0
L001.S01,Good morning!,בּוֹקֶר,בּוֹקֶר,"morning, dawn",0
L001.S01,Good morning!,טוֹב,טוֹב,"good, well, pleasant, appropriate",0
L001.S02,Good morning (morning-of light),אוֹר,אוֹר,light; lamp,0
L002.N2,Second lesson,שֵׁנִי,שֵׁנִי,second (ordinal); other,0
L003.N3,Third lesson,שׁלִישִׁי,שְׁלִישִׁי,third,1
L004.N4,Fourth lesson,רְבִיעִי,רְבִיעִי,fourth,0
L004.S01,What are you(m) drinking?,שׁוֹתֶה,שׁוֹתֶה,"drinks (m, s)",0
L004.S03,What are you(f) drinking?,שׁוֹתָה,שׁוֹתָה,"drinks (f, s)",0
L004.S04,"Beer, thanks",בִּירָה,בִּירָה,"beer; capital city, palace",0
L005.N5,Fifth lesson,חֲמִישִׁי,חֲמִישִׁי,fifth,0
L005.S02,What are you learning?,לוֹמֵד,לוֹמֵד,"studies (m, s)",0
L005.S03,I am learning Hebrew.,עִברִית,עִבְרִית,Hebrew,1
L006.N6,Sixth lesson,שִׁישִׁי,שִׁישִּׁי,sixth,1
L006.S00,Okay,בְּסֵדֶר,בְּסֵדֶר,"alright, fine",0
L006.S00,Okay,בְּסֵדֶר,סֵדֶר,"order, arrangement",3
L006.S03,"What's new, Daniel? ",חָדָשׁ,חָדָשׁ,"new, current, recent[ly made]",0
L006.S04,Nothing's new,אֵין,אֵין,there isn't / aren't,0
L006.S04,Nothing's new,חָדָשׁ,חָדָשׁ,"new, current, recent[ly made]",0
L006.S05,"Pity, see you! (to-see-each-other)",חֲבָל,חֲבָל,pity,0
L006.S05,"Pity, see you! (to-see-each-other)",לְהִתרָאוֹת,לְהִתְרָאוֹת,"See you later!, Goodbye; meet (so.), see again, appear",1
L007.N7,Seventh lesson,שׁבִיעִי,שְׁבִיעִי,seventh,1
L008.N8,Eigth lesson,שׁמִינִי,שְׁמִינִי,eighth,1
L008.S01,Do you(m) speak hebrew?,מְדַבֵּר,לְדַבֵּר,"to speak, talk",1
L008.S02,NA,רַק,רַק,"only, just",0
L008.S02,NA,מִפּוֹלָניָה,פּוֹלָנִית,Polish (lang.),5
L008.S02,NA,מְדַבֵּר,לְדַבֵּר,"to speak, talk",1
L008.S04,NA,מֵרוּסיָה,רוּסְיָה,Russia,3
L008.S04,NA,רוּסִית,רוּסִית,Russian (lang.),0
L008.S04,NA,רוּסִית,רוּסִי,Russian,1
L008.S04,NA,אִידִישׁ,יִידִישׁ,Yiddish (lang.),1
L008.S04,NA,אוּלפָּן,אוּלְפָּן,studio,3
L008.S06,NA,שַׁבָּת,שַׁבָּת,"Sabbath, day of rest; Saturday",2
L009.N9,NA,תשִׁיעִי,תְּשִׁיעִי,ninth,2
L009.S00,NA,מַחשֵׁבִים,מַחְשֵׁב,computer,4
L009.S05,NA,וְאִנטֶרנֶט,אִינטֶרנֶט,internet,3
L009.S07,NA,מַחשֵׁב,חוֹשֵׁב,"thinks (m, s)",3
L010.N10,Tenth lesson,עֲשִׂירִי,עֲשִׂירִי,tenth,0
L010.S01,Good evening.  What would you (f pl) like (want)?,עֶרֶב,עֶרֶב,evening,0
L010.S01,Good evening.  What would you (f pl) like (want)?,טוֹב,טוֹב,"good, well, pleasant, appropriate",0
L010.S01,Good evening.  What would you (f pl) like (want)?,מַה,מַה,"what? how much, why, how",0
L010.S01,Good evening.  What would you (f pl) like (want)?,אַתֶן,אַתֶן,you (pl.),0
L010.S01,Good evening.  What would you (f pl) like (want)?,רוֹצוֹת,רוֹצוֹת,"want (f, p)",0
L010.S02,"Coffee and cake, please.",קָפֶה,קָפֶה,coffee,0
L010.S02,"Coffee and cake, please.",וְעוּגָה,עוּגָה,cake,2
L010.S02,"Coffee and cake, please.",בְּבַקָשָׁה,בְּבַקָשָׁה,please; you're welcome,2
L010.S03,Is there cheese cake?,יֵשׁ,יֵשׁ,"there is/are/exist; existence, Being, entity",0
L010.S03,Is there cheese cake?,גבִינָה,גְבִינָה,cheese,1
L010.S04,"There isn't any cheesecake, but there's a good poppyseed cake.",אֵין,אֵין,there isn't / aren't,0
L010.S04,"There isn't any cheesecake, but there's a good poppyseed cake.",אֲבָל,אֲבָל,"but, however",0
L010.S05,Or chocolate cake,אוֹ,אוֹ,"or, either",0
L010.S05,Or chocolate cake,שׁוֹקוֹלָד,שׁוֹקוֹלָד,chocolate,0
L011.S01,Hello. What are you drinking?,שָׁלוֹם,שָׁלוֹם,"hello, goodbye; peace, rest, welfare",0
L011.S01,Hello. What are you drinking?,מַה,מַה,"what? how much, why, how",0
L011.S01,Hello. What are you drinking?,אַתֶם,אַתֶם,"you, ""you guys"" (pl.)",0
L011.S01,Hello. What are you drinking?,שׁוֹתִים,שׁוֹתִים,"drink (m, p)",0
L011.S03,"There's filter coffee, unfiltered coffee, Turkish coffee, milky coffee, and instant coffee.",טוּרקִי,טוּרְקִי,Turkish,1
L011.S03,"There's filter coffee, unfiltered coffee, Turkish coffee, milky coffee, and instant coffee.",וְנֵס,נֵס,"miracle, wonder",2
