Hebrew	Definition	Gender	PartOfSpeech	Shoresh	Audio	Inflections	Extended	Image	Tags
שִׁיעוּר	lesson, class; rate, measure	ז	n	שׁ־ע־ר		שִׁיעוּרִים	לָלֶכֶת לְשִׁיעוּרִיםto attend classes		0-6 Education Level32 שׁ־ע־ר assimil-01
רִאשׁוֹן	first	ז	a	ר־א־שׁ		רִאשׁוֹנָה	רֹאשׁ: head זאת הייתה הפעם הראשונה.‏That was the first time. בזכותה אחי זכה בפרס הראשון.‏Thanks to her, my brother won first prize.		1-04 1-13 Level31 Numbers2 ר־א־שׁ assimil-01
בּוֹקֶר	morning, dawn	ז	n	ב־ק־ר		בְּקָרִים	היה לי זמן הבוקר.‏I had time this moming. אני מתרוצץ מהבוקר.‏I’ve been running around since this morning. הם רקדו עד אור הבוקר.‏They danced until daybreak [the light of morning]. דבורה, אכלת ארוחת בוקר?‏Devorah, have you had breakfast? הוא עובד בבוקר ואני בערב.‏He works in the morning and I [work] in the evening. הוא הקים אותי בחמש בַּבּוֹקֵר.‏He got [raised] me up at five o'clock in the moming. הם אוספים את הפועלים בטנדר כל בוקר.‏They pick up the workers in a pickup truck every morning.		1-01 Level04 Phrases ב־ק־ר assimil-01
טוֹב	good, well, pleasant, appropriate	ז	a adv	ט־ו־ב		טוֹבִים	טוֹב לִי.‏I'm good.		0-6 AdjectivesIntro Letters3 Level03 Level07 ט־ו־ב assimil-01
אוֹר	light; lamp	ז	n	א־ו־ר		אוֹרוֹת	also: electrom. radiation, understanding הוא רָאָה את האור.‏He saw the light.		1-04 1-17 Home Level26 א־ו־ר assimil-01
שֵׁנִי	second (ordinal); other	ז	a			שְׁנִיָּה			1-13 Level31 Numbers2 assimil-02
שְׁלִישִׁי	third	ז	a			שְׁלִישִׁית			1-13 Level31 Numbers2 assimil-03
רְבִיעִי	fourth	ז	a	ר־ב־ע		רְבִיעִית			1-13 Level31 Numbers2 ר־ב־ע assimil-04
שׁוֹתֶה	drinks (m, s)	פָּעַ	v	שׁ־ת־ה		הוֹוֶהשׁוֹתֶהshoteשׁוֹתָהshotaשׁוֹתִיםshotimשׁוֹתוֹתshototעָבָרשָׁתִיתִיshatitiשָׁתִינוּshatinuשָׁתִיתָshatitaשָׁתִיתshatitשְׁתִיתֶםshtitemשְׁתִיתֶןshtitenשָׁתָהshataשָׁתְתָהshatetaשָׁתוּshatuעָתִידאֶשְׁתֶּהeshteנִשְׁתֶּהnishteתִּשְׁתֶּהtishteתִּשְׁתִּיtishtiתִּשְׁתּוּtishtuתִּשְׁתֶּינָהtishtenaיִשְׁתֶּהyishteתִּשְׁתֶּהtishteיִשְׁתּוּyishtuתִּשְׁתֶּינָהtishtenaצִוּוּישְׁתֵה!‏shte!שְׁתִי!‏shti!שְׁתוּ!‏shtu!שְׁתֶינָה!‏shtena!	לא, אני לא שותה בין הארוחות.‏No, I don't drink between meals.		0-4 Letters2 Level02 שׁ־ת־ה assimil-04
שׁוֹתָה	drinks (f, s)	פָּעַ	v	שׁ־ת־ה		הוֹוֶהשׁוֹתֶהshoteשׁוֹתָהshotaשׁוֹתִיםshotimשׁוֹתוֹתshototעָבָרשָׁתִיתִיshatitiשָׁתִינוּshatinuשָׁתִיתָshatitaשָׁתִיתshatitשְׁתִיתֶםshtitemשְׁתִיתֶןshtitenשָׁתָהshataשָׁתְתָהshatetaשָׁתוּshatuעָתִידאֶשְׁתֶּהeshteנִשְׁתֶּהnishteתִּשְׁתֶּהtishteתִּשְׁתִּיtishtiתִּשְׁתּוּtishtuתִּשְׁתֶּינָהtishtenaיִשְׁתֶּהyishteתִּשְׁתֶּהtishteיִשְׁתּוּyishtuתִּשְׁתֶּינָהtishtenaצִוּוּישְׁתֵה!‏shte!שְׁתִי!‏shti!שְׁתוּ!‏shtu!שְׁתֶינָה!‏shtena!	אני לא שותה בין הארוחות.‏I don't drink between meals.		0-4 Letters2 Level02 שׁ־ת־ה assimil-04
בִּירָה	beer; capital city, palace	נ	n			בִּירוֹת‎	via Proto-Germanic beuzą, perhaps from Proto-Indo-European *bews- (“dross, sediment, brewer's yeast”)		0-2 Food1 Level08 Level10 Plurals assimil-04
חֲמִישִׁי	fifth	ז	a			חֲמִישִׁית	הַאֲזִינוּ עכשיו לסימפוניה החמישית…‏Let us now listen to the fifth symphony… [listen!]		1-13 Level31 Numbers2 assimil-05
לוֹמֵד	studies (m, s)	פָּעַ	v	ל־מ־ד		הוֹוֶהלוֹמֵדlomedלוֹמֶדֶתlomedetלוֹמְדִיםlomdimלוֹמְדוֹתlomdotעָבָרלָמַדְתִּיlamadetiלָמַדְנוּlamadnuלָמַדְתָּlamadetaלָמַדְתְּlamadetלְמַדְתֶּםlemadetemלְמַדְתֶּןlemadetenלָמַדlamadלָמְדָהlamdaלָמְדוּlamduעָתִידאֶלְמַדelmadנִלְמַדnilmadתִּלְמַדtilmadתִּלְמְדִיtilmediתִּלְמְדוּtilmeduתִּלְמַדְנָהtilmadnaיִלְמַדyilmadתִּלְמַדtilmadיִלְמְדוּyilmeduתִּלְמַדְנָהtilmadnaצִוּוּילְמַד!‏lemad!לִמְדִי!‏limdi!לִמְדוּ!‏limdu!לְמַדְנָה!‏lemadna!	אני עדיין לומד: אחי ואני לומדים באולפן ערב.‏I'm still studying; my brother and I study at an evening class (ulpan).		0-3 Level42 Present1 ל־מ־ד assimil-05
עִבְרִית	Hebrew	נ	a n	ע־ב־ר			"also as adjective incl. ""Jewish"": עִבְרִי From one of the several names for the Israelite people: Traditionally seen as adjective to the name of Abraham's ancestor Eber, in turn thought related to עָבַר‎ [a]cross, like to the other site of the Euphrates or Jordan. איך קוראים לזה בעברית?‏What is this called in Hebrew? אני מדבר עברית אבל אני עושה הרבה שגיאות.‏I speak Hebrew, but I make a lot of mistakes."		0-0 Level04 Phrases ע־ב־ר assimil-05
שִׁישִּׁי	sixth	ז	a			שִׁישִּׁית			1-13 Level31 Numbers2 assimil-06
בְּסֵדֶר	alright, fine		prep	ס־ד־ר			"""in order"" זֶה בְּסֵדֶר.‏It's okay."		0-5 Level04 Phrases ס־ד־ר assimil-06
סֵדֶר	order, arrangement	ז	n	ס־ד־ר		סְדָרִים	צריך לעשות זאת בסדר הפוך.‏It should be done the other way round [in backward order]. אם לא יוּשַּׂג הסדר עד סוף החודש תהיה שביתה.‏If an agreement is not reached by the end of the month, there will be a strike.		1-27 2-08 ס־ד־ר assimil-06
חָדָשׁ	new, current, recent[ly made]	ז	a	ח־ד־שׁ		חֲדָשָׁה	מחר אני אקנה חולצה חדשה.‏I'll buy a new shirt tomorrow. הבית שהוא גר בו חדש לגמרי.‏The house he lives in is completely new. תיכף מרגישים שהוא חדש כאן.‏[You] immediately sense that he's new here. תדגיש בקו את המילים החדשות.‏Underline [emphasize with a line] the new words. מה דעתך לכלול את השיר בספר החדש?‏How about [what's your opinion] including the poem in the new book?		1-02 Adjectives1 Level12 ח־ד־שׁ assimil-06
אֵין	there isn't / aren't		ptcl				non-existence, non-possession present tense		0-5 Level06 ThereIs assimil-06
חֲבָל	pity	ז	n	ח־ב־ל			also as it's a shame, too bad: חבל ללכלך את הידיים.‏It's not worth [it's a pity] soiling one's hands. חבל שאני לנו דף עם המילים, היינו שרים אתך.‏It's a pity we don't have the lyrics sheet, we'd sing along with you.		1-22 ח־ב־ל assimil-06
לְהִתְרָאוֹת	See you later!, Goodbye; meet (so.), see again, appear	הִתְ	v interj	ר־א־ה		הוֹוֶהמִתְרָאֶהmitra'eמִתְרָאָהmitra'aמִתְרָאִיםmitra'imמִתְרָאוֹתmitra'otעָבָרהִתְרָאֵיתִיhitra'etiהִתְרָאֵינוּhitra'enuהִתְרָאֵיתָhitra'etaהִתְרָאֵיתhitra'etהִתְרָאֵיתֶםhitra'etemהִתְרָאֵיתֶןhitra'etenהִתְרָאָהhitra'aהִתְרָאֲתָהhitra'ataהִתְרָאוּhitra'uעָתִידאֶתְרָאֶהetra'eנִתְרָאֶהnitra'eתִּתְרָאֶהtitra'eתִּתְרָאִיtitra'iתִּתְרָאוּtitra'uתִּתְרָאֶינָהtitra'enaיִתְרָאֶהyitra'eתִּתְרָאֶהtitra'eיִתְרָאוּyitra'uתִּתְרָאֶינָהtitra'enaצִוּוּיהִתְרָאֵה!‏hitra'e!הִתְרָאִי!‏hitra'i!הִתְרָאוּ!‏hitra'u!הִתְרָאֶינָה!‏hitra'ena!	infinitive commonly used idiomatically להתראות מחר!‏See you tomorow! לא התראינו מאז.‏We haven't seen each other since then. הם מקווים להתראות.‏They hope to see each other again. הם מתראים מזמן לזמן.‏They see each other from time to time.		0-3 Level04 Phrases ר־א־ה assimil-06
שְׁבִיעִי	seventh	ז	a	שׁ־ב־ע		שְׁבִיעִית			1-13 Level31 Numbers2 שׁ־ב־ע assimil-07
שְׁמִינִי	eighth	ז	a			שְׁמִינִית			1-13 Level31 Numbers2 assimil-08
לְדַבֵּר	to speak, talk	פִּעֵ	v	ד־ב־ר		הוֹוֶהמְדַבֵּרmedaberמְדַבֶּרֶתmedaberetמְדַבְּרִיםmedabrimמְדַבְּרוֹתmedabrotעָבָרדִּיבַּרְתִּיdibartiדִּיבַּרְנוּdibarnuדִּיבַּרְתָּdibartaדִּיבַּרְתְּdibartדִּיבַּרְתֶּםdibartemדִּיבַּרְתֶּןdibartenדִּיבֵּרdiberדִּיבְּרָהdibraדִּיבְּרוּdibruעָתִידאֲדַבֵּרadaberנְדַבֵּרnedaberתְּדַבֵּרtedaberתְּדַבְּרִיtedabriתְּדַבְּרוּtedabruתְּדַבֵּרְנָהtedabernaיְדַבֵּרyedaberתְּדַבֵּרtedaberיְדַבְּרוּyedabruתְּדַבֵּרְנָהtedabernaצִוּוּידַּבֵּר!‏daber!דַּבְּרִי!‏dabri!דַּבְּרוּ!‏dabru!דַּבֵּרְנָה!‏daberna!	עם	יצא לי לדבר אתו.‏I happened to talk to him. [It came out to me to talk to him.] לא כדאי לדבר על זה.‏It's best not to talk about it. אתה יודע על מה הוא דיבר?‏Do you know what he talked / was talking about? עכשיו, היא מדברת עברית די טוב.‏Now she speaks Hebrew fairly well.	0-5 Infinitives1 Level45 ד־ב־ר assimil-08
רַק	only, just		adv						0-4 Conjunctions Level20 assimil-08
פּוֹלָנִית	Polish (lang.)	נ	n				pl.		0-5 Languages Level38 assimil-08
רוּסְיָה	Russia	נ	n				Proto-Indo-European *h₁reh₁-, “to row”		0-6 Level33 Travel assimil-08
רוּסִית	Russian (lang.)	נ	n						0-4 Languages Level38 assimil-08
רוּסִי	Russian	ז	a			רוּסִית‎			Level30 People assimil-08
יִידִישׁ	Yiddish (lang.)	נ	n				Jiddisch-Daitsch (“Jewish German”) based on Middle High German, earliest surviving references date from the 12th c. Ashkenazi language whose Eastern branch incorporates many Slavic words, while the Western began dying in the 18th c.		0-3 Languages Level38 assimil-08
אוּלְפָּן	studio	ז	n	א־ל־ף		אוּלְפָּנִים	mostly as Hebrew school for immigrants		0-5 Arts Level60 Level70 WelcomeToIsrael א־ל־ף assimil-08
שַׁבָּת	Sabbath, day of rest; Saturday	נ	n	שׁ־ב־ת		שַׁבָּתוֹת	"also יום שבת possibly from Akkadian šapattu, ""the middle day of the month"""		1-06 DatesAndTime Level22 שׁ־ב־ת assimil-08
תְּשִׁיעִי	ninth	ז	a	ת־שׁ־ע		תְּשִׁיעִית תְּשִׁיעִיִּים, תְּשִׁיעִיּוֹת			1-13 Level31 Numbers2 ת־שׁ־ע assimil-09
מַחְשֵׁב	computer	ז	n	ח־שׁ־ב		מַחְשְׁבִים	כְּתוֹב במחשב, זה יותר ברור.‏Use [write on] the computer, it's clearer.		0-6 Level35 Objects ח־שׁ־ב assimil-09
אִינטֶרנֶט	internet	ז	n						0-6 assimil-09
חוֹשֵׁב	thinks (m, s)	פָּעַ	v	ח־שׁ־ב		הוֹוֶהחוֹשֵׁבchoshevחוֹשֶׁבֶתchoshevetחוֹשְׁבִיםchoshvimחוֹשְׁבוֹתchoshvotעָבָרחָשַׁבְתִּיchashavtiחָשַׁבְנוּchashavnuחָשַׁבְתָּchashavtaחָשַׁבְתְּchashavtחֲשַׁבְתֶּםchashavtemחֲשַׁבְתֶּןchashavtenחָשַׁבchashavחָשְׁבָהchashvaחָשְׁבוּchashvuעָתִידאֶחְשׁוֹבechshovנַחְשׁוֹבnachshovתַּחְשׁוֹבtachshovתַּחְשְׁבִיtachsheviתַּחְשְׁבוּtachshevuתַּחְשׁוֹבְנָהtachshovnaיַחְשׁוֹבyachshovתַּחְשׁוֹבtachshovיַחְשְׁבוּyachshevuתַּחְשׁוֹבְנָהtachshovnaצִוּוּיחֲשׁוֹב!‏chashov!חִשְׁבִי!‏chishvi!חִשְׁבוּ!‏chishvu!חֲשׁוֹבְנָה!‏chashovna!	על		1-06 Level42 Present1 ח־שׁ־ב assimil-09
עֲשִׂירִי	tenth	ז	a	ע־שׂ־ר		עֲשִׂירִית עֲשִׂירִיִּים, עֲשִׂירִיּוֹת			1-13 Level31 Numbers2 ע־שׂ־ר assimil-10
עֶרֶב	evening	ז	n	ע־ר־ב		עֲרָבִים	in construct form also: the day before עֶרֶב פֶּסַח‎the day before Passover ייתכן מאוד שהוא יאכל אצלנו הערב.‏He'll probably have dinner with us this evening. בערב אני חוזר על המילים שרשמתי.‏In the evening I go over the words I've written down.		1-01 Level04 Phrases ע־ר־ב assimil-10
מַה	what? how much, why, how		q						0-1 Level18 Questions assimil-10
אַתֶן	you (pl.)	נ	pro						0-3 Basics Level05 assimil-10
