id,eng_text,heb_word,match_word,match_word_def,Levensht
L001.N1,First lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L001.N1,First lesson,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2
L001.N1,First lesson,רִאשׁוֹן,רִאשׁוֹן,first,0
L001.N1,First lesson,רִאשׁוֹן,לִישׁוֹן,to sleep,2
L001.S02,Good morning (morning-of light),בּוֹקֶר,בּוֹקֶר,"morning, dawn",0
L001.S02,Good morning (morning-of light),בּוֹקֶר,פּוֹקֶר,poker (cards),1
L001.S02,Good morning (morning-of light),אוֹר,אוֹר,light; lamp,0
L001.S02,Good morning (morning-of light),אוֹר,אוֹ,"or, either",1
L002.N2,Second lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L002.N2,Second lesson,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2
L002.N2,Second lesson,שֵׁנִי,שֵׁנִי,second (ordinal); other,0
L002.N2,Second lesson,שֵׁנִי,שֵׁמִי,Semitic,1
L003.N3,Third lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L003.N3,Third lesson,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2
L003.N3,Third lesson,שׁלִישִׁי,שְׁלִישִׁי,third,1
L003.N3,Third lesson,שׁלִישִׁי,אִישִׁי,"personal, private",3
L003.S00,Not bad (same word twice),כָּכָה,בָּאָה,"comes, [came] (f, s, [3rd])",2
L003.S00,Not bad (same word twice),כָּכָה,בָּמָה,"platform, stage",2
L003.S00,Not bad (same word twice),כָּכָה,בָּאָה,"comes, [came] (f, s, [3rd])",2
L003.S00,Not bad (same word twice),כָּכָה,בָּמָה,"platform, stage",2
L003.S01,"How are you, Lior?",מַה,מַה,"what? how much, why, how",0
L003.S01,"How are you, Lior?",מַה,מַס,"tax, fee",1
L003.S01,"How are you, Lior?",שׁלוֹמךָ,לוֹמֵד,"studies (m, s)",4
L003.S01,"How are you, Lior?",שׁלוֹמךָ,לוֹמַר,"to say, tell",4
L003.S01,"How are you, Lior?",לִיאוֹר,לִיצוֹר,"to create, form; to produce, generate",1
L003.S01,"How are you, Lior?",לִיאוֹר,לִימוֹן,lemon,2
L003.S03,"How are you, Shirli?",מַה,מַה,"what? how much, why, how",0
L003.S03,"How are you, Shirli?",מַה,מַס,"tax, fee",1
L003.S03,"How are you, Shirli?",שׁלוֹמֵך,לוֹמֵד,"studies (m, s)",3
L003.S03,"How are you, Shirli?",שׁלוֹמֵך,שׁוֹבֵר,"breaks (m, s)",3
L003.S03,"How are you, Shirli?",שִׁירלִי,שִׁטְחִי,"superficial, surface, shallow",3
L003.S03,"How are you, Shirli?",שִׁירלִי,שִׁיר,"song, poem",3
L004.N4,Fourth lesson,שִׁעוּר,שִׁיעוּר,"lesson, class; rate, measure",1
L004.N4,Fourth lesson,שִׁעוּר,שָׁבוּר,"broken, fractured; depressed, despondent",2
L004.N4,Fourth lesson,רְבִיעִי,רְבִיעִי,fourth,0
L004.N4,Fourth lesson,רְבִיעִי,רְצִינִי,serious,2
L004.S01,What are you(m) drinking?,מַה,מַה,"what? how much, why, how",0
L004.S01,What are you(m) drinking?,מַה,מַס,"tax, fee",1
L004.S01,What are you(m) drinking?,אַתָה,אַתָה,you,0
L004.S01,What are you(m) drinking?,אַתָה,אֲתָר,site,2
L004.S01,What are you(m) drinking?,שׁוֹתֶה,שׁוֹתֶה,"drinks (m, s)",0
L004.S01,What are you(m) drinking?,שׁוֹתֶה,שׁוֹנֶה,"different, diverse, separate",1
L004.S02,"Tea, thanks",תֵה,אֵל,"god, supreme diety",2
L004.S02,"Tea, thanks",תֵה,אֵם,"mother, matriarch",2
L004.S02,"Tea, thanks",תוֹדָה,תּוֹדָה,thanks,1
L004.S02,"Tea, thanks",תוֹדָה,דּוֹדָה,aunt,2
L004.S03,What are you(f) drinking?,מַה,מַה,"what? how much, why, how",0
L004.S03,What are you(f) drinking?,מַה,מַס,"tax, fee",1
L004.S03,What are you(f) drinking?,אַת,אַת,you,0
L004.S03,What are you(f) drinking?,אַת,אֶת,[Direct Object Marker],1
L004.S03,What are you(f) drinking?,שׁוֹתָה,שׁוֹתָה,"drinks (f, s)",0
L004.S03,What are you(f) drinking?,שׁוֹתָה,שׁוֹאָה,"catastrophe, ruin, calamity, disaster",1
L004.S04,"Beer, thanks",בִּירָה,בִּירָה,"beer; capital city, palace",0
L004.S04,"Beer, thanks",בִּירָה,דִּירָה,apartment,1
L004.S04,"Beer, thanks",תוֹדָה,תּוֹדָה,thanks,1
