#separator:tab
#html:false
#tags column:13
אִימָא	mom		נ	n			אִימָּהוֹת	sing. less formal than אֵם	אימא שלי שוכנת בתל אביב.‏My mother resides in Tel Aviv.			DL::01 DL::Letters1 HfS::0::1 HfS::1::28
יַיִן	wine		ז	ni			יֵינוֹת		אפשר לראות את תפריט היינות, בבקשה?‏Could I see the wine list, please?האם ניתן להזמין בקבוק יין עם הארוחה?‏Can we have a bottle of wine with the meal?	אנחנו לא שותים יין, כאן כולם שותים מים.‏We don't drink wine, everyone here drinks water.	🍷	DL::01 DL::10 DL::Letters1 DL::Plurals HfS::0::1
יָם	sea, ocean		ז	n	י־מ־ם		יַמִּים		אני חושב שכלבי ים הם חמודים.‏I think seals are cute.בגד ים לבןwhite swimsuit	התרחצתי בים המלח ואחר-כך התקלחתי.‏I bathed in the Dead Sea and then I showered.		DL::40 DL::Nature HfS::0::1 י::מ::ם
מַיִם	water		ז	n				pl.	אפשר לקבל כוס מים, בבקשה?‏Can I have a glass of water, please?מים קופאים בשלושים ושתיים מעלות פרנהייט.‏Water freezes at thirty-two (32) degrees Fahrenheit.	היה שם ברז אבל לא היו מים.‏There was a faucet there, but there was no water.המים רתחו, הורדתי אותם מהאש.‏The water was boiling, and I took it off the stove [the fire].שפכתי את המים המלוכלכים לתוך הכיור.‏I poured the dirty water into the sink.		DL::01 DL::Letters1 HfS::0::1
מַתָּנָה	gift, present		נ	n	נ־ת־ן		מַתָּנוֹת		מחלקים כרטיסי מתנה חינם בכניסה לבניין.‏They're giving away free gift cards in front of the building.	שלח לה מתנה, היא תשמח.‏Send her a present, she'll be glad.	🎁	DL::35 DL::Objects HfS::0::1 נ::ת::ן
אֲנִי	I, ego			pro					אני מאד רעב.‏I'm very hungry.אני אדם נוח.‏I'm easygoing.אני צריך רופא.‏I need a doctor.אני עסוק עכשיו.‏I'm busy now.			DL::01 DL::Letters1 HfS::0::1
אַת	you		נ	pro					"את לבד?‏Are you alone?את בסדר?‏Are you OK?אַת מְעַשֶּׁנֶת?‏Do you smoke?למה את שואלת?‏Why do you ask?את הטיפוס שלי.‏You're my type.""את בטוחה שיהיה לנו במה לבשל?‏""""You sure we have what to cook?"""	אֵיפֹה אַת עוֹבֶדֶת?‏Where do you work?		DL::01 DL::Letters1 HfS::0::1
אַתָה	you		ז	pro					אתה בא?‏Are you coming?אתה מעשן?‏Do you smoke?אם אתה אומר.‏If you say so.אתה חדש כאן?‏Are you new here?האם אתה בסדר?‏Are you OK?למה אתה מחכה?‏What are you waiting for?למה אתה שואל?‏Why do you ask?אתה יכול לבוא?‏Can you come?אתה תהיה בסדר.‏You'll be OK.אתה כל כך חמוד.‏You are so cute.אז אתה לא הולך?‏Won't you go?על מה אתה ממליץ?‏What do you recommend?מי אתה חושב שאתה?‏Who do you think you are?בוא, אם אתה יכול.‏Come if you can.מה לעזאזל אתה עושה?‏What the heck are you doing?אתה יכול לעשות זאת!‏You can do it!איך אתה מרגיש היום?‏How are you feeling today?כמה זמן אתה לומד עברית?‏How long have you been studying Hebrew?			DL::01 DL::Letters1 HfS::0::1
הִיא	she		נ	pro				grammatical female	היא רגועה.‏She is quiet.היא אחותי.‏She's my sister.היא בת שמונה.‏She is eight.האם היא בבית?‏Is she at home?היא יכלה לבוא.‏She might come.אנגלית היא קשה.‏English is difficult.שידת העץ היא ענתיקה.‏The wooden dresser is an antique.שפה חדשה היא חיים חדשים.‏A new language is a new life.			DL::01 DL::Letters1 HfS::0::1
מַה	what? how much, why, how			q					מה זה?‏What's this [that]?מה קרה?‏What happened?מה המצב?‏What's up?מה השעה?‏What time is it?מה איתך?‏How about you?מה שלומך?‏How are you?על מה הסרט?‏What is the film about?מה העניינים?‏How are things?מה הדבר הזה?‏What is that?מה המנה כוללת?‏What does this dish contain?זה לא מה שהזמנתי.‏This isn't what I ordered.מה לעזאזל אתה עושה?‏What the heck are you doing?פשוט תעשה מה שאני אומר.‏Just do what I say.זה בדיוק מה שאני מרגיש.‏That's exactly how I feel.הבנתי לגמרי את כל מה שאמרת.‏I completely understood everything you said.כל מה שרציתי זה להיות הכל בשבילך.‏All I ever wanted was to be your everything.כולם מדברים אנגלית, אז בשביל מה לטרוח?‏Everyone speaks English, so why bother?אני לומד גם היבטים אחרים של התרבות , מה שהופך את למידת השפה ליותר מתגמלת.‏I study other aspects of the culture too, which makes it more rewarding to study the language.			DL::18 DL::Questions HfS::0::1
מִי	who?			q				"""…, who that"", what person"	מי זו?‏Who is she?מי בתור?‏Who is next?מי (זה) שם?‏Who's there?מי הבא בתור?‏Who is next?מי האיש הזה?‏Who is he?מי שבר את זה?‏Who broke this?אני תוהה מי זה.‏I wonder who.מי אתה חושב שאתה?‏Who do you think you are?אני תוהה מי זה יכול להיות.‏I wonder who.אין לי עם מי לתרגל את השפה.‏I do not have anyone to practice the language with.חבר הוא מי שמכיר אותך ואוהב אותך כמו שאתה.‏A friend is one who knows you and loves you just the same.			DL::18 DL::Questions HfS::0::1
הַיי!	Hi!			interj					היי, חכה רגע!‏Hey, wait up!			HfS::0::1
