id,hebrew,english,sound,tags
L001.N1,שִׁעוּר רִאשׁוֹן٭,First lesson,[sound:L001.N1.mp3],assimil assimil-01
L001.S02,בּוֹקֶר אוֹר!٭,Good morning (morning-of light),[sound:L001.S02.mp3],assimil assimil-01
L002.N2,שִׁעוּר שֵׁנִי٭,Second lesson,[sound:L002.N2.mp3],assimil assimil-02
L003.N3,שִׁעוּר שׁלִישִׁי٭,Third lesson,[sound:L003.N3.mp3],assimil assimil-03
L003.S00,"כָּכָה, כָּכָה٭",Not bad (same word twice),[sound:L003.S00.mp3],assimil assimil-03
L003.S01,מַה שׁלוֹמךָ לִיאוֹר?٭,"How are you, Lior?",[sound:L003.S01.mp3],assimil assimil-03
L003.S03,מַה שׁלוֹמֵך שִׁירלִי?٭,"How are you, Shirli?",[sound:L003.S03.mp3],assimil assimil-03
L004.N4,שִׁעוּר רְבִיעִי٭,Fourth lesson,[sound:L004.N4.mp3],assimil assimil-04
L004.S01,מַה אַתָה שׁוֹתֶה?٭,What are you(m) drinking?,[sound:L004.S01.mp3],assimil assimil-04
L004.S02,"תֵה, תוֹדָה.٭","Tea, thanks",[sound:L004.S02.mp3],assimil assimil-04
L004.S03,מַה אַת שׁוֹתָה?٭,What are you(f) drinking?,[sound:L004.S03.mp3],assimil assimil-04
L004.S04,"בִּירָה, תוֹדָה.٭","Beer, thanks",[sound:L004.S04.mp3],assimil assimil-04
L005.N5,שִׁעוּר חֲמִישִׁי٭,Fifth lesson,[sound:L005.N5.mp3],assimil assimil-05
L005.S02,מַה אַתָה לוֹמֵד?٭,What are you learning?,[sound:L005.S02.mp3],assimil assimil-05
L005.S03,אֲנִי לוֹמֵד עִברִית.٭,I am learning Hebrew.,[sound:L005.S03.mp3],assimil assimil-05
L005.S04,"לֵאָה, מַה אַת לוֹמֶדֶת?٭","Leah, what are you learning?",[sound:L005.S04.mp3],assimil assimil-05
L005.S05,אֲנִי לוֹמֶדֶת לָטִינִית.٭,I(f) am learning Latin.,[sound:L005.S05.mp3],assimil assimil-05
L005.T05,מה שירלי לומדת?٭,What is Shirli learning?,[sound:L005.T05.mp3],assimil assimil-05
L006.N6,שִׁעוּר שִׁישִׁי٭,Sixth lesson,[sound:L006.N6.mp3],assimil assimil-06
L006.S00,בְּסֵדֶר٭,Okay,[sound:L006.S00.mp3],assimil assimil-06
L006.S01,"מַה נִשׁמַע, יָעֵל?٭","What's up (is-heard) Yael?",[sound:L006.S01.mp3],assimil assimil-06
L006.S03,מַה חָדָשׁ דָנִיאֵל?٭,"What's new, Daniel?" ,[sound:L006.S03.mp3],assimil assimil-06
L006.S04,אֵין חָדָשׁ.٭,"Nothing's new",[sound:L006.S04.mp3],assimil assimil-06
L006.S05,"חֲבָל, לְהִתרָאוֹת!٭","Pity, see you! (to-see-each-other)",[sound:L006.S05.mp3],assimil assimil-06
L007.N7,שִׁעוּר שׁבִיעִי٭,Seventh lesson,[sound:L007.N7.mp3],assimil assimil-07
L007.S00,חֲזָרָה٭,Review,[sound:L007.S00.mp3],assimil assimil-07
